hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-06-30
City Hotel,0,5,2015,August,33,15,1,1,2,2,0,SC,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Contract,153.0,1,1,Check-Out,2015-08-17
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,342,2015,September,39,24,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170.0,0,0,Canceled,2015-08-21
